"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=COD26,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD26.techlab.br","True","COD26","computer","220f6c83-d97d-45c9-bc7c-e84ea04a5c70","COD26$","S-1-5-21-925037465-2226837016-4004537459-22162",
"CN=COD06,OU=Computadores,OU=Verde_Ghaia,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD06.techlab.br","True","COD06","computer","56758709-7858-4078-809d-c0575ed2749a","COD06$","S-1-5-21-925037465-2226837016-4004537459-18084",
"CN=COD86,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD86.techlab.br","True","COD86","computer","e45dc5fe-3e75-4dc3-901b-aea507ec7bf9","COD86$","S-1-5-21-925037465-2226837016-4004537459-22181",
"CN=COD-116,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD-116.techlab.br","True","COD-116","computer","e7ec4665-b9ed-4f80-bca9-b4ddd9c78b76","COD-116$","S-1-5-21-925037465-2226837016-4004537459-22182",
"CN=COD84,OU=Computadores,OU=DHO,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD84.techlab.br","True","COD84","computer","2f90fb8b-cbb0-4651-9bec-ae8a6da950ba","COD84$","S-1-5-21-925037465-2226837016-4004537459-18105",
"CN=COD90,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD90.techlab.br","True","COD90","computer","a166f738-1f78-4912-b958-f87946b3809a","COD90$","S-1-5-21-925037465-2226837016-4004537459-22186",
"CN=COD91,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD91.techlab.br","True","COD91","computer","f9f5b07d-e219-44d8-b463-f77b1f8c73c2","COD91$","S-1-5-21-925037465-2226837016-4004537459-18108",
"CN=COD92,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD92.techlab.br","True","COD92","computer","41de3d24-f80c-4774-83dd-ab53ade2d94a","COD92$","S-1-5-21-925037465-2226837016-4004537459-18109",
"CN=COD93,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD93.techlab.br","True","COD93","computer","2d46a827-09e6-44a2-913b-22e0b78d4429","COD93$","S-1-5-21-925037465-2226837016-4004537459-20610",
"CN=COD95,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD95.techlab.br","True","COD95","computer","be2dfce3-0494-4483-b28e-211b836577a7","COD95$","S-1-5-21-925037465-2226837016-4004537459-20612",
"CN=COD96,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD96.techlab.br","True","COD96","computer","354b0b5a-2a57-485d-b39e-8e1ea20de8cd","COD96$","S-1-5-21-925037465-2226837016-4004537459-20613",
"CN=COD97,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD97.techlab.br","True","COD97","computer","022cb3a2-ba50-437e-b4bd-67c8668f36d1","COD97$","S-1-5-21-925037465-2226837016-4004537459-22187",
"CN=NOTEITA,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","NoteIta.techlab.br","True","NOTEITA","computer","8f6d543e-5dfc-4417-96fa-a452925b4dc3","NOTEITA$","S-1-5-21-925037465-2226837016-4004537459-20618",
"CN=COD15,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD15.techlab.br","True","COD15","computer","0fa82ad2-0241-4d73-a2b1-a66a13768ae0","COD15$","S-1-5-21-925037465-2226837016-4004537459-20638",
"CN=MACHINE-TVMSQL,OU=Azure,OU=Servidores,DC=techlab,DC=br","MACHINE-TVMSQL.techlab.br","True","MACHINE-TVMSQL","computer","4bb21384-b4c3-4843-a4f0-d5a446d0fd1f","MACHINE-TVMSQL$","S-1-5-21-925037465-2226837016-4004537459-20653",
"CN=imac-de-verde,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","imac-de-verde.techlab.br","True","imac-de-verde","computer","892f40d6-82aa-4d1a-b385-72de29300890","imac-de-verde$","S-1-5-21-925037465-2226837016-4004537459-22210",
"CN=MACHINE-TVCENTER,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-TVCENTER.techlab.br","True","MACHINE-TVCENTER","computer","a8ff9e31-8867-4a30-9ea8-2a3332635edb","MACHINE-TVCENTER$","S-1-5-21-925037465-2226837016-4004537459-20665",
